time,source,keyword,frame,D/H,link,relevancy,immigrant category
18,1,1,4,0,https://metro.co.uk/video/bansky-revealed-glastonbury-migrant-boat-stunt-3222219/,0,5
19,1,1,2,0,https://metro.co.uk/2024/07/02/behind-doors-londons-secret-squats-21139703/,1,5
19,1,1,11,0,https://metro.co.uk/2024/07/02/labour-tory-lib-dem-reform-green-healthcare-policies-explained-21145838/,0,5
19,1,1,11,0,https://metro.co.uk/2024/07/03/uk-political-parties-immigration-policies-explained-vote-21154630/,0,5
19,1,1,11,0,https://metro.co.uk/2024/07/05/keir-starmer-labour-party-manifesto-2024-general-election-policies-21167511/,0,5
19,1,1,3,0,https://metro.co.uk/video/evidence-removed-property-linked-crossbow-killing-suspect-kyle-clifford-3230821/,1,5
19,1,1,3,1,https://metro.co.uk/2024/07/11/bushey-crossbow-attack-suspect-kyle-clifford-found-police-live-21205523/,1,5
19,1,1,3,0,https://metro.co.uk/2024/07/23/seen-a-nail-salon-immigration-raid-first-hand-21279103/,0,5
19,1,1,3,0,https://metro.co.uk/2024/07/31/southport-stabbing-girls-killed-bigots-want-spread-hate-21333309/,1,5
19,1,1,3,0,https://metro.co.uk/2024/08/01/russian-linked-fake-news-outlet-spread-lies-southport-attacks-21341702/,0,5
20,1,1,1,0,https://metro.co.uk/2024/08/02/muslim-stabbed-train-station-hours-far-right-demo-liverpool-mosque-21352830/,0,5
20,1,1,1,0,https://metro.co.uk/2024/08/04/rotherham-riot-holiday-inn-migrant-hotel-know-far-21358399/,0,5
20,1,1,5,0,https://metro.co.uk/2024/08/07/tory-councillors-wife-arrested-saying-set-fire-migrant-hotels-21375410/,1,5
20,1,1,3,0,https://metro.co.uk/video/finchley-protesters-attempt-march-guided-pavement-3248015/,0,5
20,1,1,1,0,https://metro.co.uk/2024/08/08/anti-racist-britain-showed-thousands-protestors-outnumber-violent-rioters-21385058/,0,5
20,1,1,5,0,https://metro.co.uk/2024/08/08/white-nationalists-say-protecting-women-children-riot-21386394/,1,5
20,1,1,1,0,https://metro.co.uk/2024/08/09/think-defending-minorities-using-this-argument-wrong-21395563/,0,5
20,1,1,4,0,https://metro.co.uk/2024/08/09/cruise-ship-makes-dramatic-rescue-save-migrants-stricken-boat-21392287/,0,5
20,1,1,13,1,https://metro.co.uk/2024/08/14/full-list-everyone-jailed-uk-riots-southport-killings-unrest-21419523/,0,5
20,1,1,3,0,https://metro.co.uk/2024/08/25/london-awash-colour-1-000-000-descend-notting-hill-carnival-21486166/,1,5
20,1,1,11,0,https://metro.co.uk/2024/09/01/far-right-party-set-win-election-germany-first-time-since-war-21529594/,0,5
1,1,2,9,1,https://metro.co.uk/2023/01/08/first-steps-of-windrush-arrivals-in-britain-celebrated-in-75th-year-18046585/,1,5
1,1,2,9,1,https://metro.co.uk/2023/01/17/my-family-fled-to-the-uk-but-dad-had-to-stay-behind-i-saw-him-9-years-later-18081821/,0,5
1,1,2,11,0,https://metro.co.uk/2023/01/23/gangs-kidnapping-dozens-of-asylum-seeking-children-from-hotels-18147011/,1,5
1,1,2,9,1,https://metro.co.uk/2023/01/27/my-sister-and-i-fled-nazis-as-children-22-of-my-relatives-were-killed-18150868/,1,5
2,1,2,2,0,https://metro.co.uk/2023/02/14/i-came-from-albania-to-the-uk-in-the-back-of-a-lorry-with-my-two-daughters-18275077/,1,5
2,1,2,3,0,https://metro.co.uk/2023/02/26/italy-more-than-30-dead-after-migrant-boat-carrying-100-breaks-apart-18349779/,1,5
3,1,2,11,0,https://metro.co.uk/2023/03/09/rishi-sunaks-stop-the-boats-plan-praised-by-far-right-in-europe-18416463/,0,5
3,1,2,8,1,https://metro.co.uk/2023/03/14/gbbos-sandro-i-never-met-my-father-baking-was-my-therapy-after-his-death-18433552/,1,5
4,1,2,5,0,https://metro.co.uk/2023/04/05/inside-the-floating-barge-thats-set-to-hold-500-asylum-seekers-18562217/,0,5
4,1,2,12,0,https://metro.co.uk/2023/04/13/i-rely-on-food-banks-to-feed-my-kids-so-i-can-pay-home-office-visa-fees-18590347/,0,5
5,1,2,4,0,https://metro.co.uk/2023/05/10/archbishop-slams-morally-unacceptable-rwanda-policy-in-rare-intervention-18759251/,0,5
5,1,2,4,0,https://metro.co.uk/2023/05/12/british-crews-backed-by-drones-rescue-500-people-from-channel-in-a-day-18774747/,1,5
5,1,2,9,1,https://metro.co.uk/2023/05/15/living-in-the-uk-going-home-to-gaza-is-a-nightmare-i-missed-my-dads-funeral-18751432/,0,6
5,1,2,9,1,https://metro.co.uk/2023/05/30/at-19-i-left-grenada-for-the-uk-70-years-later-and-both-countries-are-my-home-18849821/,0,5
6,1,2,8,1,https://metro.co.uk/2023/06/05/this-is-the-first-meal-ive-eaten-today-what-you-hear-as-a-youth-worker-18808418/,1,5
6,1,2,4,0,https://metro.co.uk/2023/06/14/rnli-lifeboat-crews-saved-lives-of-108-migrants-in-channel-last-year-18947512/,0,5
6,1,2,2,0,https://metro.co.uk/2023/06/20/i-attempted-suicide-twice-while-awaiting-a-decision-on-my-asylum-case-18956305/,0,3
6,1,2,13,1,https://metro.co.uk/2023/06/22/the-windrush-scandal-left-me-homeless-and-jobless-after-43-years-2-18995131/,0,5
6,1,2,12,0,https://metro.co.uk/2023/06/30/boston-woman-criminally-charged-after-posing-for-entire-year-as-high-school-student-19045192/,0,5
7,1,2,11,0,https://metro.co.uk/2023/07/05/joe-biden-smiles-and-ignores-questions-on-cocaine-found-in-white-house-19075894/,0,5
7,1,2,12,0,https://metro.co.uk/video/dom-joly-protests-against-illegal-migration-bill-westminster-dressed-mickey-mouse-2980419/,0,5
7,1,2,8,1,https://metro.co.uk/2023/07/18/as-a-child-refugee-i-fell-in-love-with-comics-now-i-write-for-marvel-19079741/,1,5
7,1,2,1,0,https://metro.co.uk/2023/07/19/police-break-up-protesters-in-clash-over-asylum-barge-in-dorset-19152033/,0,5
8,1,2,13,0,https://metro.co.uk/2023/08/28/notting-hill-carnival-thousands-party-in-europes-biggest-street-festival-19404812/,0,5
8,1,2,12,0,https://metro.co.uk/2023/08/30/children-die-holding-each-other-after-mums-go-for-drinks-19417325/,1,5
9,1,2,9,0,https://metro.co.uk/2023/09/01/why-you-should-always-ask-if-someone-wants-kids-on-the-first-date-19430150/,1,5
9,1,2,3,0,https://metro.co.uk/2023/09/04/alan-kurdi-did-the-photo-of-a-dead-child-on-a-beach-change-anything-19443927/,1,2
9,1,2,13,1,https://metro.co.uk/2023/09/05/my-dad-sacrificed-everything-for-a-better-life-for-us-in-the-uk-19444066/,0,5
9,1,2,9,1,https://metro.co.uk/2023/09/26/i-didnt-think-id-be-mocked-for-my-disability-after-moving-to-the-uk-19542769/,0,2
10,1,2,9,1,https://metro.co.uk/2023/10/04/how-70000-black-children-were-privately-farmed-to-white-families-19576461/,1,5
10,1,2,9,1,https://metro.co.uk/2023/10/28/migrants-create-inspiring-cookbook-with-recipes-from-around-the-world-19734884/,0,5
11,1,2,12,0,https://metro.co.uk/2023/11/24/dublin-riots-made-say-five-words-swore-never-19875600/,0,5
11,1,2,13,1,https://metro.co.uk/2023/11/24/heroic-deliveroo-rider-took-dublin-knife-attacker-19872690/,0,5
12,1,2,13,1,https://metro.co.uk/2023/12/06/love-priceless-this-government-made-rich-19933770/,1,5
12,1,2,9,1,https://metro.co.uk/2023/12/10/stabbed-a-racist-attack-aged-11-now-fight-girls-like-19941883/,1,5
12,1,2,13,1,https://metro.co.uk/2023/12/10/gran-facing-deportation-uk-42-years-told-can-stay-19953675/,0,5
12,1,2,12,1,https://metro.co.uk/2023/12/16/holocaust-survivors-windrush-uk-better-off-immigration-19969687/,0,5
12,1,2,5,0,https://metro.co.uk/2023/12/17/hotel-set-house-asylum-seekers-catches-fire-hours-protests-19987268/,0,5
12,1,2,12,0,https://metro.co.uk/2023/12/22/ai-just-proved-one-thing-really-cannot-20011399/,0,5
12,1,2,9,1,https://metro.co.uk/2023/12/27/say-name-correctly-damage-every-time-dont-19979527/,0,5
13,1,2,3,0,https://metro.co.uk/2024/01/14/four-migrants-die-small-boat-crash-try-get-uk-20110394/,0,5
14,1,2,2,0,https://metro.co.uk/2024/02/12/men-found-hiding-luggage-hold-coach-returning-school-trip-20263136/,0,5
15,1,2,2,0,https://metro.co.uk/2024/03/15/im-a-child-asylum-seeker-home-office-says-im-26-20465326/,1,5
15,1,2,13,0,https://metro.co.uk/2024/03/29/easter-bunny-come-origins-holiday-mascot-20549427/,0,5
16,1,2,12,0,https://metro.co.uk/2024/04/02/came-uk-small-boat-no-choice-20571878/,0,5
16,1,2,4,0,https://metro.co.uk/2024/04/23/migrants-rescued-sinking-boat-north-sea-ship-graveyard-20701058/,0,5
18,1,2,11,0,https://metro.co.uk/2024/06/04/nigel-farage-says-jump-many-politicians-reply-how-high-20969018/,0,5
18,1,2,4,0,https://metro.co.uk/2024/06/06/80-migrants-rescued-english-channel-crossing-boat-capsizes-20981337/,1,5
